latitude,longitude,month,severity,ndvi,evi,lai,fpar,elevation,temp,humidity,dew,precipitation,windspeed,pressure,cloudcover,solarradiation,solarenergy
33.555812160168394,76.93964487055145,10,0,731.5,275.0,8.323089046493306,34.12598270440252,4238.0,-2.625,42.400000000000006,-14.55,0.35,10.8,1023.05,28.7,216.55,18.75
26.057776564356054,76.31831595493968,8,0,2360.5,1188.5,2.0,13.0,252.0,31.625,66.8,23.9,0.0,12.05,1001.85,82.7,222.60000000000002,19.15
23.167162559587847,73.87644420063098,2,0,4211.0,2367.5,7.0,41.5,154.0,25.950000000000003,33.45,7.05,0.0,24.85,1012.05,28.650000000000002,249.25,21.35
20.81784977332717,80.18862456841752,6,0,474.0,135.5,8.323089046493306,34.12598270440252,253.0,37.474999999999994,21.9,10.8,0.0,14.75,999.6,59.75,298.95,25.75
9.149914353117637,77.92772428223577,8,0,3145.0,1511.0,2.5,12.5,90.0,29.0,80.2,24.7,5.0,12.1,1009.0,57.8,163.2,14.0
20.352327744592866,80.7610052686886,10,0,7607.0,4746.5,25.5,76.5,354.0,27.25,75.1,20.8,1.4,10.45,1011.75,64.55,235.35,20.3
23.962750264502755,75.3809426739278,8,0,4448.5,3706.0,6.5,27.5,441.0,25.275,90.44999999999999,23.299999999999997,5.65,24.1,1004.6,98.8,67.05,5.7
19.71337977870556,81.96640969666312,7,0,6035.5,3408.0,3.5,12.5,644.0,24.200000000000003,92.1,22.8,5.05,13.350000000000001,1001.8,98.1,97.94999999999999,8.4
26.74054283111357,81.02193477228674,12,0,3186,1720,2.5,21.0,119.0,20.75,79.75,16.299999999999997,0.0,9.4,1015.95,84.1,77.55,6.6000000000000005
34.28442218865486,76.94597555912455,6,0,912.0,505.5,8.323089046493306,34.12598270440252,4132.0,4.75,79.0,-1.5499999999999998,3.4000000000000004,5.2,1021.2,90.85,287.70000000000005,24.8
34.626424667152456,76.07708090811688,1,0,-36.5,-33.5,8.323089046493306,34.12598270440252,3354.0,-21.05,62.45,-25.95,0.0,3.6,1028.25,17.95,174.75,15.05
20.22791439253333,78.36689375382753,2,0,2961.5,1594.0,4.5,25.5,365.0,27.0,39.900000000000006,11.1,0.0,9.2,1011.4000000000001,0.1,264.79999999999995,23.1
21.292278199672513,79.93943387869916,3,0,3889.5,2288.0,5.5,30.5,292.0,33.25,14.95,0.95,0.0,10.3,1006.45,37.0,320.75,27.65
32.73160738403879,78.21472952681712,7,0,468,280,8.323089046493306,34.12598270440252,5241.0,11.625,51.15,1.15,7.45,19.1,1007.0,64.7,214.25,18.549999999999997
22.774066637706184,74.0663141412753,10,0,5900.5,3563.5,13,57,290.0,27.65,61.65,18.55,0.1,10.8,1009.4,56.4,245.25,21.1
34.85360624723429,77.79936518513263,4,0,-297.0,-328.0,8.323089046493306,34.12598270440252,6136.0,-15.0,67.0,-18.8,6.35,14.399999999999999,1025.9,51.2,354.75,30.65
20.379098756921717,75.35279341105114,8,0,4442.0,3263.0,9.0,35.0,656.0,25.2,87.85,22.7,14.9,12.6,1000.3,92.6,144.10000000000002,12.45
20.309768739445285,80.73818533624895,1,0,4659.0,2316.0,10.0,44.5,340.0,24.15,37.7,6.449999999999999,0.0,8.8,1012.15,0.35,233.8,20.1
25.87113793800309,90.10124171721958,7,0,3382.0,2461.5,0.5,3.0,51.0,28.075,89.94999999999999,25.75,17.65,11.5,1001.55,93.15,259.1,22.3
