latitude,longitude,month,severity,ndvi,evi,lai,fpar,elevation,temp,humidity,dew,precipitation,windspeed,pressure,cloudcover,solarradiation,solarenergy
24.926343575380454,93.62855901366804,3,8882,7628.0,3296.5,51.0,88.0,1196.0,19.975,50.400000000000006,7.050000000000001,0.0,11.2,1019.35,12.75,276.15,23.85
16.187078960922506,78.67258363179796,2,5933,4258.0,1974.0,8.5,35.0,808.0,27.925,34.099999999999994,8.25,0.0,18.0,1015.55,0.8500000000000001,294.15,25.4
22.542772648685542,86.37656414016459,2,5089,4907.0,2708.5,13.0,50.0,426.0,26.75,37.2,7.6,0.0,13.899999999999999,1011.25,7.6,267.7,23.1
20.18840069461902,84.49718829802505,2,8114,6160.0,2712.0,13.5,48.0,404.0,25.575,46.900000000000006,10.0,0.0,10.95,1017.15,3.6500000000000004,276.1,23.9
21.991178360666428,86.1875019269386,2,5435,4746.0,2403.5,8.0,36.5,491.0,24.325,39.85,7.05,0.0,12.6,1017.75,13.2,275.65,23.75
19.3377017697349,84.36394900266986,3,5558,4887.5,2676.0,7.5,37.0,386.0,25.725,45.0,10.2,0.0,13.5,1017.5,1.4,289.29999999999995,24.9
17.65877002731798,82.16875996486058,2,11988,5488.5,2921.5,9.5,45.5,295.0,25.724999999999998,52.45,12.55,0.0,19.4,1017.45,3.75,290.15,25.1
19.863812901606728,84.44082283284189,2,8169,5916.5,2793.0,13.0,48.0,450.0,27.674999999999997,42.5,10.5,0.0,26.6,1016.45,0.4,280.6,24.15
19.800808547540143,84.25626800857624,2,7594,5758.5,2504.0,12.5,46.0,192.0,26.225,38.6,8.25,0.0,18.200000000000003,1017.1,4.4,277.9,24.0
15.191997148299702,78.7920401273638,2,7630,4757.5,2348.0,13.0,46.0,467.0,26.150000000000002,42.55,10.1,0.0,21.05,1016.0,3.6,295.85,25.6
15.607604279682288,78.71429333332344,2,6054,5563.0,2512.0,15.5,53.0,774.0,27.475,39.8,9.9,0.0,19.25,1015.4000000000001,0.9,295.20000000000005,25.6
19.316721511259793,78.66618345630889,2,5947,3653.5,1830.0,7.0,33.5,261.0,27.225,22.200000000000003,1.5499999999999998,0.0,12.8,1012.9000000000001,29.75,262.35,22.7
14.593547219418856,78.87252443623494,2,5941,5314.5,2534.0,12.0,44.5,395.0,27.8,42.0,11.9,0.0,20.15,1013.0,66.5,273.29999999999995,23.700000000000003
15.242540297874568,78.69311777861837,2,5667,3932.5,1757.0,11.0,41.0,328.0,26.025,53.2,13.100000000000001,0.0,17.65,1012.6,78.5,269.8,23.200000000000003
14.284496516365877,77.81366005833429,2,6229,3803.0,2164.5,6.0,34.0,473.0,26.775000000000002,42.650000000000006,11.5,0.0,19.799999999999997,1011.3499999999999,78.4,280.65,24.15
18.584540462465057,80.52215341216768,2,14402,5667.0,2799.5,11.5,45.5,203.0,25.925,32.75,6.2,0.0,9.15,1012.0,51.8,255.7,22.15
16.10503161941739,78.55592937663711,2,12220,4533.5,2132.0,11.0,46.5,704.0,28.475,30.700000000000003,6.949999999999999,0.0,20.2,1012.45,56.95,272.9,23.549999999999997
13.137896978779693,75.2804610115712,2,5992,6453.5,2899.0,18.0,64.5,1392.0,27.725,72.15,21.5,0.0,17.5,1011.85,24.4,294.75,25.6
14.343889021502408,78.67597440934392,2,5788,4258.0,2094.0,6.5,33.0,505.0,24.525,63.25,15.350000000000001,0.0,21.25,1012.75,46.7,230.4,19.9
21.8560835187322,82.66314476236083,12,7416,2972.5,1588.0,5.5,26.0,249.0,22.025,39.05,6.0,0.0,10.1,1013.0,23.55,201.4,17.35
21.897883624079217,82.92984969269283,12,5006,4200.0,2217.5,5.5,30.0,221.0,24.15,32.7,5.9,0.0,8.5,1013.2,8.3,191.75,16.5
21.13252117431117,82.0557416352623,12,5890,3032.0,1754.5,5.0,28.5,285.0,23.9,57.1,14.4,0.0,13.0,1013.3,66.05,175.0,15.100000000000001
20.91264834645438,81.95358060088883,12,7117,2964.0,1049.0,3.0,27.5,295.0,23.25,60.5,14.100000000000001,0.0,10.3,1013.45,1.1,207.05,17.799999999999997
25.081579077374588,83.91622163480949,11,12919,3424.0,2024.0,4.5,34.5,90.0,20.450000000000003,40.35,4.800000000000001,0.0,5.55,1011.9,2.9,195.05,16.75
25.16883626238885,84.05762017839315,11,10277,3118.5,1925.5,4.5,32.0,86.0,20.525,40.2,4.75,0.0,6.300000000000001,1011.8499999999999,2.9,192.55,16.5
23.26575339472042,79.85825622091534,11,7362,3511.5,1867.0,4.0,27.0,377.0,18.675,50.6,6.55,0.0,11.2,1013.25,4.15,202.3,17.5
23.428836365008934,80.1758152349489,11,6990,4008.0,2687.5,9.5,47.0,386.0,24.4,59.45,14.2,0.0,12.1,1014.3,3.75,227.39999999999998,19.7
23.184839517607344,79.77102860226042,11,7882,5169.0,4083.0,13.5,59.0,381.0,22.25,58.95,12.95,0.0,14.799999999999999,1015.25,0.55,235.45,20.3
23.413811886164915,80.02454043775776,11,13537,4744.5,2918.5,10.5,48.0,371.0,23.775,62.2,14.55,0.0,12.1,1014.2,0.0,229.4,19.8
23.318849172830262,79.88183812416942,11,7855,4071.0,3024.5,13.5,59.0,374.0,23.775,62.25,14.6,0.0,12.1,1014.3,0.0,230.9,20.1
18.654138069778668,77.96216552133922,10,5976,4270.0,2864.0,7.5,44.5,369.0,23.65,63.75,14.5,0.0,9.9,1013.45,2.7,262.55,22.6
22.85210807944227,78.57168049000302,10,18596,3709.5,2491.5,8.0,41.0,341.0,20.975,54.3,11.15,0.0,10.3,1012.95,0.0,245.75,21.3
30.148461687784806,74.27698684491338,10,7150,3512.0,2164.5,7.0,38.0,187.0,25.975,36.15,7.3,0.0,11.7,1010.1500000000001,0.0,203.15,17.6
31.06519041513388,75.63316114359577,10,6148,3374.5,1943.5,20.0,40.0,239.0,26.15,44.349999999999994,11.65,0.0,10.100000000000001,1012.1,0.0,212.05,18.25
30.45056574810277,75.48636880157804,10,5215,3406.5,2032.0,8.0,40.0,229.0,25.975,51.05,13.55,0.0,16.049999999999997,1013.3499999999999,1.25,205.05,17.85
30.036772959004665,75.0180999014179,10,10692,2880.0,1756.0,8.0,42.0,209.0,26.75,30.45,6.85,0.0,12.05,1010.65,0.0,220.8,19.049999999999997
19.52541989503651,80.88075391179292,4,10415,5006.0,3479.0,13.5,43.0,797.0,31.2,32.65,11.75,0.1,13.0,1008.7,43.65,264.8,22.9
29.897702937045135,78.95257257780001,4,5350,4955.0,2786.0,15.0,51.0,1835.0,20.85,27.9,-1.15,0.0,24.5,1010.7,2.2,326.15,28.15
30.404442189302017,78.6245891264575,4,5353,5601.0,3074.0,12.5,48.0,1368.0,20.725,31.3,0.95,0.0,13.35,1008.15,13.6,320.75,27.700000000000003
26.295350731210718,93.26004648636233,4,8211,7205.5,4512.5,50.5,86.0,324.0,24.225,71.4,18.6,6.7,7.4,1009.4000000000001,49.7,259.9,22.5
26.052017328724855,92.37209351735348,4,5615,7236.0,4042.0,53.5,86.5,533.0,25.375,78.5,21.1,6.2025,19.700000000000003,1003.55,67.6,302.55,26.1
26.314091426782703,93.26010353398443,4,5119,6736.0,3782.0,27.0,68.5,378.0,26.0,78.7,20.049999999999997,3.3,11.7,1006.8,29.8,309.15,26.8
25.15461528795123,83.42804404555979,4,5642,2257.5,1357.5,3.0,15.0,74.0,33.8,42.7,17.1,0.0,17.65,1001.3499999999999,12.149999999999999,297.1,25.700000000000003
26.338017482629127,83.5481110710021,4,5772,2374.0,1655.0,4.0,20.0,69.0,33.025,29.9,9.899999999999999,0.0,29.0,1005.1500000000001,11.0,318.45,27.45
26.905972566215574,83.53266440430829,4,5537,2438.0,1760.0,4.0,20.5,83.0,32.625,44.849999999999994,16.4,0.0,32.05,1004.75,5.7,309.65,26.8
30.283174537347954,78.83440182263259,4,5608,5778.5,2654.5,10.5,44.0,1117.0,21.725,32.65,2.65,0.0,22.3,1005.65,17.4,307.04999999999995,26.6
29.807854589645594,78.75095525241635,4,5455,4804.0,1752.0,9.5,35.5,1545.0,27.85,21.6,1.4000000000000001,0.15,19.45,1005.1500000000001,28.549999999999997,292.3,25.35
25.15285744032327,83.96772315882488,4,47583,2402.0,1788.0,20.0,40.0,84.0,32.775,11.1,-5.0,0.0,20.0,1007.25,13.299999999999999,323.4,27.799999999999997
27.23802844374628,82.71575481779797,4,81156,2555.0,1607.5,2.0,13.0,91.0,32.075,36.0,12.1,0.0,46.8,1004.4,5.8500000000000005,302.15,26.1
26.906839448342673,82.91763668666678,4,9901,2603.5,1590.0,2.0,13.0,85.0,32.75,44.2,16.4,0.0,20.35,1003.25,53.75,288.9,24.85
27.28372584277976,83.37442253462325,4,27815,2810.5,1686.0,4.0,22.0,87.0,31.65,46.5,16.4,0.0,31.05,1004.15,7.3,303.3,26.15
22.330282494666307,79.77423991793636,4,19628,2278.5,1303.0,3.0,16.0,484.0,33.475,19.85,5.95,0.0,19.6,1005.9000000000001,38.5,314.15,27.3
23.3637772020622,77.99616771930276,4,10141,2252.0,1703.0,20.0,40.0,438.0,31.325,15.25,0.6,0.0,13.0,1010.8,10.85,322.85,27.85
27.029488040334517,83.55397577009214,4,7467,2523.5,1704.5,3.5,19.5,86.0,33.325,27.15,7.550000000000001,0.0,28.450000000000003,1000.3,9.55,314.7,27.200000000000003
